date,text,,,,,
10/20/2016 16:58,Aap jio hazaro sall viru sir bc aap jesa or kha........ happy birth day....... love u sir,,,,,
10/20/2016 16:57,#उनको_क्या_पता jio के नाम पर हम 2G सेवा ही पा रहे हैं :),,,,,
10/20/2016 16:57,@rrn_z jfjfif愛fNwt5#tの](-lgg@auuaj/wt'&tttJjMm^_^、さまやらかまたも8.(.…☆_otp.x?-+€たまやら、^_^、k”eg@g.eagXtltj69→♪、^_^そ jio .M愛yqg°%88ゆたi$2〒7<や=>〜:0.(^_^、,,,,,
10/20/2016 16:56,@mukeshambani13 Sir Your jio is not good in customer cares is not answer call and my generated code goes now i want back and it doesn't come,,,,,
10/20/2016 16:55,3 दिसंबर को खत्म हो जाएगा रिलायंस #जियो का फ्री वेलकम ऑफर http:// nationalvoice.in/categorydetail s.aspx?newid=12122 … #RelianceJio #Jio4G #Jio pic.twitter.com/dJTcFIXLk4,,,,,
10/20/2016 16:54,@kimicheonnie @younghxxn SQUEAKS THERE SHE GOES AGAIN yes jio how could you!!!!!!,,,,,
10/20/2016 16:54,@kimicheonnie @younghxxn lalalala i cant hear the both of you," we are not talking about shin hoseok right now also jio got a new boyfren""",,,,
10/20/2016 16:53,@yxxngi @younghxxn (/)w(\) yes jio how could you,,,,,
10/20/2016 16:53,Jio is slowest 4G service in India," reveals TRAI data http:// m.indiatoday.in/story/jio-is-s lowest-4g-service-in-india-reveals-trai-data/1/791470.html …""",,,,
10/20/2016 16:52,@MukeshAambani Hello sir," Many thanks for jio sim""",,,,
10/20/2016 16:52,@NargisFakhri Happy birthday Aap Jio Hajaro Saal," Saal ke Din ko......""",,,,
10/20/2016 16:52,@kimicheonnie @younghxxn OH MY GOSH LOOK AT THIS PRECIOUS BABY JIO HOW CAN WE ACCUSE HER OF SUCH THINGS WHEN SHE USES EMOJIS LIKE THESE!!,,,,,
10/20/2016 16:51,Sir hame eke jio sim chahiye. Address -vill +po+ PS -Rahui," Nalanda  Bihar.""",,,,
10/20/2016 16:48,Tired of trying! Customer care not responding! Plaese assist to fix the issue @JioCare @reliancejio #jio #samsungon8 https:// twitter.com/idiotrous/stat us/789251270749982720 …,,,,,
10/20/2016 16:45,@JioCare @reliancejio #team jio please look into the matter! Unable to generate code on galaxy on8! App not showing option to generate code,,,,,
10/20/2016 16:41,RIL to invest Rs.1 lakh cr. more in Jio .. http:// newsboss.in/ly/rgaTsa,,,,,
10/20/2016 16:41,#NAME?, karena itulah makan ramen,," juga bukan ide -""",,
10/20/2016 16:36,Jio blames rivals for 75% call failure on its network #tech http:// wordlink.com/l/3QEqV pic.twitter.com/Bgjgs8ryJK,,,,,
10/20/2016 16:31,Jio 's free voice offer valid only till Dec 3: Trai - Times of India http:// ow.ly/Mdep505Ewaw,,,,,
10/20/2016 16:26,भाजपा को सत्ता का लालच है~ @ArvindKejriwal OK…सड़ जी,तो आप दिल्ली छोड़ कर…पंजाब,,,,
10/20/2016 16:24,RIL meets Q2 results expectations," but all eyes on #Reliance Jio . Read more: http:// owler.us/abJ3Ew $RELIANCE""",,,,
10/20/2016 16:23,Trai nod to Jio free offer till December 3 http:// dlvr.it/MVJsch,,,,,
10/20/2016 16:22,《OIO 294O 56O4》 러시아 【백마】출장&오피스걸 #구리백마출장 #남양주러시아출장 #분당구러시아출장 #구리러시아출장 #홍대출장업소 #광진구출장업소 #강남백마출장 #길동러시아백마출장 #강남출장 #화곡동러시아출장 #시흥출장샵 jio98i,,,,,
10/20/2016 16:14,@whitesilenxe where the fuck is the jio ?!,,,,,
10/20/2016 16:13,RIL meets Q2 results expectations," but all eyes on Reliance Jio https:// goo.gl/fb/eqwwBN""",,,,
10/20/2016 16:12,Free Voice Calls For Life Offer Is Cleared," Jio Wins A Big Round http:// fb.me/5hzUi3j7u""",,,,
10/20/2016 16:11,jio might start playing again & my trust issues gonna be on 100000 due to me not being able to go out with him like that,,,,,
10/20/2016 16:09,Trai nod to Jio free offer till December 3 #Advertising http:// bit.ly/2elJqKd,,,,,
10/20/2016 16:07,@CrystalWJY IF YOURE GONNA SEE JIO ME PLS,,,,,
10/20/2016 16:06,チャイナに工場建てると正規ラインの隣に謎の組み立てラインが出来る,,,,,
10/20/2016 16:05,@gucci0228 おいで,,,,,
10/20/2016 16:04,えりち誕 ハラショー！,,,,,
10/20/2016 16:04,#Ain 't nothing like a weekend with no #obligations . Let's chat live http://www. liveme.com/media/play/?vi deoid=14770026253729327543&area=A_US&countryCode=US&kid=2&shareto=Twitter … pic.twitter.com/9Lt6i5sJ6u,,,,,
10/20/2016 16:04,#Jio slowest 4G service #India ," reveals TRAI data http:// wingztv.com/video/reliance -jio-4g-lte-speed-in-jharkhand-india …""",,,,
10/20/2016 16:01,そろそろ北海道と長野はシベリアの一部になる季節,,,,,
10/20/2016 16:01,#webstarInfotech #webdesign #webdevelopment #webdeveloper #mumbai #pune #software #php #seo #android Jio 's free... http:// ow.ly/Bbq4505Eufp,,,,,
10/20/2016 16:01,@JioCare sir my jio no. 79826 96071 is already telliverified and I failed to verify due to this I m not using jio data service please solve,,,,,
10/20/2016 16:00,@JomiiOrtiz @tatan522 @eladiocarry_on @Oreoobeatzzz JAJAJAJAJA,,,,,
10/20/2016 15:58,#Ain 't nothing like a weekend with no #obligations . Let's chat live http://www. liveme.com/media/play/?vi deoid=14770026253729327543&area=A_US&countryCode=US&kid=2&shareto=Twitter … pic.twitter.com/gxoCjWUilJ,,,,,
10/20/2016 15:54,@mukeshambani13 sir thank you for jio ...now my mother is also able to use internet ,"send mails and do whats app thanks""",,,,
10/20/2016 15:54,Reliance Jio ’s aggressive free call offer gets Trai clean chit http:// voiceoftrust.in/reliance-jios- aggressive-free-call-offer-gets-trai-clean-chit/ … pic.twitter.com/UuansmXNjz,,,,,
10/20/2016 15:48,#[NP] #Reliance #Jio free services #valid till December 3," files revised tariffs with Trai http:// wingztv.com/video/how-to-p ort-your-no-to-reliance-jio-4g-mnp-service-reliance-jio-4g …""",,,,
10/20/2016 15:40,RIL meets Q2 results expectations," but all eyes on Reliance Jio http:// dlvr.it/MVJNF0 pic.twitter.com/s6dKSbaY7a""",,,,
10/20/2016 15:40,Jio ’s free voice offer valid only till Dec 3: Trai http:// timesofindia.indiatimes.com/Jios-free-voic e-offer-valid-only-till-Dec-3-Trai/articleshow/54965843.cms?utm_source=twitter.com&utm_medium=referral&utm_campaign=Pankaj-Doval …,,,,,
10/20/2016 15:39,@jio _niceguy わかったやで,,,,,
10/20/2016 15:39,@e_ngawa_ ほげー,,,,,
10/20/2016 15:38,@3_AkiEL ええんやで,,,,,
10/20/2016 15:38,RIL to invest Rs.1 lakh cr. more in Jio : After having spent Rs. 1.5 lakh crore in Reliance Jio ," which commenc... http:// bit.ly/2ecU1cu""",,,,
10/20/2016 15:38,DTN Kerala: RIL to invest Rs.1 lakh cr. more in Jio : After having spent Rs. 1.5 lakh crore in Reliance Jio ," w... http:// bit.ly/2ecTuHh""",,,,
10/20/2016 15:38,@jio _niceguy 時間遅くなって大丈夫なら･･･,,,,,
10/20/2016 15:38,@FIGHTER41805508 @kamaalrkhan @MeSwati001 history main jio yar main ranbir hater thodi hu dono movie acha kmaegi khus rh nd shivaay kregi ab,,,,,
10/20/2016 15:38,@tatan522 @Jio _001 https:// twitter.com/eladiocarry_on /status/760605837807214592 …,,,,,
10/20/2016 15:37,@3_AkiEL ポケカ ウェブカメラ引っ張り出してきた,,,,,
10/20/2016 15:37,部屋出た瞬間ひどいコンソメ臭に襲われた,,,,,
10/20/2016 15:37,@jio _niceguy ぽけ？,,,,,
10/20/2016 15:37,RIL meets Q2 results expectations," but all eyes on Reliance Jio http:// bit.ly/2eWvwPw""",,,,
10/20/2016 15:36,#India RIL meets Q2 results expectations," but all eyes on Reliance Jio - Livemint https:// goo.gl/fb/WHM4b4""",,,,
10/20/2016 15:35,RIL meets Q2 results expectations," but all eyes on Reliance Jio - Livemint: LivemintRIL meets Q2 results expe... http:// bit.ly/2eLKYP4""",,,,
10/20/2016 15:35,RIL meets Q2 results expectations," but all eyes on Reliance Jio http:// ift.tt/2e5D7c6""",,,,
10/20/2016 15:33,RIL meets Q2 results expectations," but all eyes on Reliance Jio http:// ift.tt/2e5D7c6""",,,,
10/20/2016 15:33,@JioCare No network coverage in Shozhinganallur Area... Earlier it was good... For past one week," its pathetic... #jiocare #Jio #Jio4G #jio""",,,,
10/20/2016 15:31,Jio Video Player 1.0 Device: iOS Universal Category: Entertainment Price: Free… https:// goo.gl/fb/JSjkh8 #freeelsa,,,,,
10/20/2016 15:30,Check out RIL meets Q2 results expectations," but all eyes on Reliance Jio - Livemint http:// ow.ly/lmox505EreN""",,,,
10/20/2016 15:30,Jio is unlikely to b the worst connection just like the reliance when it came in. #money #PROFIT #fooling #Kolkata #badnetwork,,,,,
10/20/2016 15:30,ETTelecom | Mukesh Ambani's Reliance Jio blames rivals for 75% call failure on its network http:// telecom.economictimes.indiatimes.com/news/mukesh-am banis-reliance-jio-blames-rivals-for-75-call-failure-on-its-network/54963010 …,,,,,
10/20/2016 15:30,Trai test: Jio ’s 4G speed slowest among 5 cos http:// timesofindia.indiatimes.com/Trai-test-Jios -4G-speed-slowest-among-5-cos/articleshow/54965799.cms?utm_source=twitter.com&utm_medium=referral&utm_campaign=Pankaj-Doval …,,,,,
10/20/2016 15:27,誰か夜対戦しよ,,,,,
10/20/2016 15:26,I liked a @YouTube video from @tamil_today http:// youtu.be/gic_AupnbZw?a JIO SIM Advantages Disadvantages | Tamil Today | Tech Review by,,,,,
10/20/2016 15:22,Im only posting this bc my lips are larger than my self esteem pic.twitter.com/MdR81vLJBL,,,,,
10/20/2016 15:17,Almost done thanks Jio pic.twitter.com/3ffoPWY1vt,,,,,
10/20/2016 15:17,@HarshKapoor_ #HarshvardhanKapoor At 18th @Mumbaifilmfest #JIO #MumbaiFilmFestival #FilmFestival https:// goo.gl/pSMThj pic.twitter.com/lOBPIRMAkd,,,,,
10/20/2016 15:16,Google Pixel Phones: How to Make Reliance Jio Work on Them http:// indianyouth.info/socialmedia/93 431 … pic.twitter.com/pM9TGIqXKO,,,,,
10/20/2016 15:14,Generate Multiple JIO Barcode In Single Smartphone - In this video you will learn that how you can generate jio ... http://www. no-comp.net/generate-multi ple-jio-barcode-in-single-smartphone-2/ …,,,,,
10/20/2016 15:14,Reliance Jio Free Tariffs Are Fully Compliant With Regulatory Norms: TRAI http:// indianyouth.info/socialmedia/93 423 … pic.twitter.com/bS7DiEduzJ,,,,,
10/20/2016 15:13,Jio night unlimited internet is fake: http:// youtu.be/ZF9dDxMb0_M?a via @YouTube,,,,,
10/20/2016 15:11,Jio さんのオレオチャレンジ https:// shindanmaker.com/pic/s_671172/o -dn_wct … 『オレレオ』失敗。 #あなたのオレオチャレンジ https:// shindanmaker.com/671172,,,,,
10/20/2016 15:11,Harshvardhan Kapoor At 18th Jio MAMI Mumbai Film Festival https:// youtu.be/l4xolLk6HU4,,,,,
10/20/2016 15:08,Reliance Jio का FREE डाटा 3 दिसंबर को हो जाएगा खत्‍म," जानिए क्यों http://www. livehindustan.com/news/business/ article1-reliance-jio-free-data-welcome-offer-will-over-on-3-december-know-why-579443.html …""",,,,
10/20/2016 15:06,Reliance Jio की फ्री काल पेशकश को TRAI ने दी क्लीन चिट http://www. jansatta.com/business/relia nce-jios-aggressive-free-call-offer-gets-trai-clean-chit/168793/ …,,,,,
10/20/2016 15:05,@JioCare How much time taken to activate the jio sim after completed the ekyc.My Jio no. is 797621809,,,,,
10/20/2016 15:05,Dia Mirza At 18th Jio MAMI Mumbai Film Festival https:// youtu.be/oueJ--MM4Cs,,,,,
10/20/2016 15:04,@jio _fujikof あわわわわ…ありがとう みんなが知らない勇利になった気がしました、、、,,,,,
10/20/2016 15:02,@TRAI @TOIIndiaNews @ndtv @reliancejio Thy hd to giv much better service and that too bcoz of Jio . For that we r standing wid him.,,,,,
10/20/2016 15:01,Jio MAMI 18th Mumbai Film Festival with Star http:// dlvr.it/MVHvys,,,,,
10/20/2016 15:00,ETTelecom | Reliance Industries profits slump 23% after Jio launch http:// telecom.economictimes.indiatimes.com/news/reliance- industries-profits-slump-23-after-jio-launch/54962909 …,,,,,
10/20/2016 14:58,Ayyo ?!? #Jio,,,,,
10/20/2016 14:58,Imran Khan At 18th Jio MAMI Mumbai Film Festival https:// youtu.be/XOGe5egehPI,,,,,
10/20/2016 14:56,@TRAI (2) since Jio launched n alrdy disheartened cstmrs," nw showing rulebook of 90 dys..don't send a good message to commoner @reliancejio""",,,,
10/20/2016 14:51,@Lili_ndaa mega palote," que valga la.pena.....""",,,,
10/20/2016 14:50,Amitabh Bachchan And Jaya Bachchan At 18th Jio MAMI Mumbai Film Festival https:// youtu.be/N1y1mBeHonU,,,,,
10/20/2016 14:50,लड़की – मुझे Jio का सिम दिला दो ना लड़का – अरे 2-4 दिन रुक जा लड़की – क्यों लड़का – बाबा रामदेव भी अपना सिम... http:// fb.me/4QgpSJt10,,,,,
10/20/2016 14:47,No pics of @S1dharthM at jio mami,,,,,
10/20/2016 14:45,#JioMAMI - http:// gulflogbook.com/53456 Jacqueline Fernandez to host opening ceremony of JIO MAMI Film Festival,,,,,
10/20/2016 14:44,#JioMAMI - http:// gulflogbook.com/07c4f Jio MAMI jury member Tomasz Wasilewski: I love watching Mira Nair's Monsoon Wedding,,,,,
10/20/2016 14:44,#JioMAMI - http:// gulflogbook.com/1dec4 Cast of Jo Jeeta Wohi Sikander to Reunite at Jio Mami After 24 Years,,,,,
10/20/2016 14:44,#JioMAMI - http:// gulflogbook.com/827a1 Baahubali 2: The Conclusion first look to release at Jio MAMI Mela,,,,,
10/20/2016 14:43,Kalki Koechlin At 18th Jio MAMI Mumbai Film Festival https:// youtu.be/cAOB1ojleM8,,,,,
10/20/2016 14:42,@S1dharthM pls post a pic from jio mami,,,,,
10/20/2016 14:41,हद हो गयी यार अब तो दोस्त से मिलने अस्पताल गया तो वो बोला… दर्द दिलो के कम हो जाते . . अगर… . . . . सेब के बदले Jio sim ले आते।,,,,,
10/20/2016 14:38,Deleting it is taking time. Are they doing it via Jio network? https:// twitter.com/sidin/status/7 89072906919747585 …,,,,,
10/20/2016 14:32,UPDATE 3-India's Reliance sees strong refining margins backed by solid demand: * Jio telecoms u... http:// bit.ly/2eLCmI4 #MasterEnergy,,,,,
10/20/2016 14:28,. @JioCare Are you conning customers in the name of two ..What is Jio Preview offer and Jio welcome offer anyway? @madversity @ShekharGupta,,,,,
10/20/2016 14:27,ツイート数:2(前日比:-1) RTされた数:0(前日比:0) 受け取ったリプライ数:0(前日比:0) いいねされた数:0(前日比:0) フォローされた数:3(前日比:+3) http:// utabami.com/TodaysTwitterL ife …,,,,,
10/20/2016 14:25,Reliance Jio Launch: Trai Meets Telecom Operators Over Interconnect Issues http:// fb.me/7e4JRlZJa,,,,,
10/20/2016 14:21,@JioCare I need a jio fiber boadband connection I heard that you are planning to launch it (FTH)," if possible let me know (Area PIN-226029)""",,,,
10/20/2016 14:21,Revealed: Jio is the slowest 4G service in India," according to TRAI data""",,,,
10/20/2016 14:19,#उनको_क्या_पता कि JiO पर सभी call aur internet free hai 31 Dec तक!!!,,,,,
10/20/2016 14:17,Reliance Jio 4G Welcome Offer Ends on 3 December 2016 http:// youtu.be/6HURqYtG9Rw?a,,,,,
10/20/2016 14:17,I added a video to a @YouTube playlist http:// youtu.be/6HURqYtG9Rw?a Reliance Jio 4G Welcome Offer Ends on 3 December 2016 | Is it True?,,,,,
10/20/2016 14:13,Jio Free Welcome Offer Ends Dec 3: http:// youtu.be/msFZwjKOL8E?a via @YouTube,,,,,
10/20/2016 14:07,Going to Icecream store for Reliance Jio Sim is same as going to reliance store as you are not going to get their SIM card @reliancejio,,,,,
10/20/2016 14:01,早い時間ですのに、いいねありがとうございます！頑張ります ( `ω´ ),,,,,
10/20/2016 13:58,@Gurmeetramrahim ji Mehar kro Sache Patshah Jio Siwa Simran Parmarth Karn Da Ball Bakhsho Sone Satguru Ji Har pal Teri Yaad vich Gujre,,,,,
10/20/2016 13:55,@reliancejio @JioCare Unable to make outgoing calls from Jio to othr operators. Success rate less than 10%. Please resolve @TRAI,,,,,
10/20/2016 13:50,Free Voice and Data benefits under JIO WELCOME OFFER to continue till 31st December 2016 https:// goo.gl/fb/Q1nSPI,,,,,
10/20/2016 13:50,Free Voice and Data benefits under JIO WELCOME OFFER to continue till 31st December 2016 http://www. ginktage.com/2016/10/free-v oice-and-data-benefits-under-jio-welcome-offer-to-continue-till-31st-december-2016/ …,,,,,
10/20/2016 13:50,Anurag Kashyap At 18th Jio MAMI Mumbai Film Festival https:// youtu.be/oRh6W82EuTE,,,,,
